user_id,investment_goal_long_term_growth,investment_goal_stable_income,investment_goal_balanced_approach,investment_goal_high_risk_high_reward,investment_goal_short_term_trading,risk_tolerance,holding_period_response,holding_period_reaction_strength,expected_return_score,product_preference_stocks,product_preference_etfs,product_preference_government_bonds,product_preference_corporate_bonds,product_preference_municipal_bonds,product_preference_savings_bonds,product_preference_derivatives,product_preference_alternative_investments,factor_weight_investment_goals,factor_weight_risk_tolerance,factor_weight_holding_period,factor_weight_return_score,factor_weight_product_preference
1,0.29,0.24,0.29,0.14,0.04,4.83,3.33,7.39,3.15,18.72,17.62,5.92,11.99,18.77,15.6,11.07,0.31,22.43,20.48,29.33,2.26,25.5
2,0.04,0.38,0.06,0.33,0.19,5.04,6.67,8.58,4.23,16.37,15.63,8.91,15.34,8.18,15.55,16.97,3.05,6.26,7.8,22.03,22.12,41.79
3,0.39,0.02,0.15,0.17,0.27,7.28,3.33,1.53,2.09,12.67,20.59,8.26,19.86,11.26,10.51,1.75,15.1,40.52,9.34,29.33,2.3,18.51
4,0.32,0.12,0.3,0.03,0.23,2.97,10.0,6.59,7.55,11.44,8.32,2.64,18.6,20.01,14.52,13.44,11.03,7.04,7.09,31.62,23.45,30.8
5,0.18,0.18,0.01,0.27,0.36,5.61,1.0,5.57,9.24,11.17,8.25,20.71,19.18,1.54,23.51,7.33,8.31,17.7,14.2,12.73,25.42,29.95
6,0.11,0.43,0.13,0.02,0.31,2.27,1.0,1.54,2.43,12.85,15.7,8.81,9.67,9.54,14.29,14.49,14.65,8.65,10.75,19.35,39.45,21.8
7,0.09,0.14,0.26,0.28,0.23,1.32,6.67,6.57,4.58,6.13,15.85,18.69,18.37,18.39,8.98,10.59,3.0,41.3,3.19,16.33,0.81,38.37
8,0.34,0.15,0.21,0.29,0.01,8.8,10.0,1.02,3.78,9.2,10.97,14.08,18.54,20.23,11.55,7.98,7.45,13.69,37.73,9.77,33.06,5.75
9,0.01,0.11,0.22,0.41,0.25,5.55,3.33,3.81,3.95,3.92,9.29,11.56,14.99,16.33,17.7,17.63,8.58,9.11,35.83,0.85,44.64,9.57
10,0.18,0.37,0.26,0.16,0.03,3.06,6.67,5.9,9.87,26.2,9.83,4.6,21.51,1.0,8.58,4.51,23.77,25.92,33.34,4.9,20.51,15.33
11,0.33,0.07,0.02,0.24,0.34,6.49,6.67,1.47,6.97,10.6,13.87,9.86,3.89,19.48,15.79,12.35,14.16,13.59,37.93,25.82,21.12,1.54
12,0.23,0.26,0.22,0.06,0.23,3.28,1.0,1.53,5.38,21.29,2.28,2.1,15.8,2.67,25.0,19.06,11.8,27.08,38.06,21.93,6.21,6.72
13,0.03,0.31,0.07,0.29,0.3,8.63,1.0,8.11,1.77,6.07,24.09,18.55,29.48,3.25,12.92,4.91,0.73,21.15,29.4,12.37,11.67,25.41
14,0.24,0.17,0.05,0.31,0.23,3.71,3.33,1.04,7.0,0.46,16.69,21.28,14.65,16.18,22.35,4.74,3.65,28.08,24.59,37.71,0.53,9.09
15,0.4,0.01,0.36,0.01,0.22,9.95,3.33,1.52,1.62,16.47,1.98,17.81,19.06,12.51,5.5,13.22,13.45,25.16,13.57,21.11,21.99,18.17
16,0.19,0.21,0.24,0.11,0.25,9.18,10.0,8.57,7.57,13.44,20.05,4.34,5.12,15.26,8.6,17.61,15.58,33.41,16.94,0.12,17.02,32.51
17,0.01,0.11,0.22,0.31,0.35,5.22,6.67,9.48,1.5,19.91,18.3,6.04,18.41,16.24,9.47,5.0,6.63,6.08,22.37,24.18,32.12,15.25
18,0.12,0.21,0.16,0.22,0.29,7.88,1.0,6.35,9.24,33.51,33.94,9.13,4.96,2.15,2.8,2.69,10.82,54.24,9.54,8.43,19.2,8.59
19,0.36,0.26,0.19,0.01,0.18,3.86,3.33,2.94,2.96,9.61,29.09,19.08,4.16,0.23,15.31,15.24,7.28,19.78,29.9,21.51,6.94,21.87
