user_id,investment_goal_long_term_growth,investment_goal_stable_income,investment_goal_balanced_approach,investment_goal_high_risk_high_reward,investment_goal_short_term_trading,risk_tolerance,holding_period_response,holding_period_reaction_strength,expected_return_score,product_preference_equities,product_preference_government_bonds,product_preference_corporate_bonds,product_preference_municipal_bonds,product_preference_savings_bonds,product_preference_derivatives,product_preference_alternative_investments,factor_weight_investment_goals,factor_weight_risk_tolerance,factor_weight_holding_period,factor_weight_return_score,factor_weight_product_preference,factor_weight_allocation_strength
1,0.07,0.24,0.24,0.43,0.02,6.46,1.0,3.5,4.78,12.89,24.8,24.0,5.62,3.09,5.11,24.49,21.42,6.29,32.24,15.29,12.53,12.23
2,0.3,0.02,0.33,0.12,0.23,7.23,10.0,9.6,3.44,4.15,2.39,19.77,1.61,28.06,14.25,29.77,5.34,22.63,29.73,28.68,5.09,8.53
3,0.07,0.32,0.07,0.25,0.29,1.61,3.33,9.82,7.17,21.97,12.64,14.49,0.75,20.4,26.38,3.37,20.11,15.78,31.19,3.16,18.29,11.47
4,0.1,0.14,0.09,0.34,0.33,4.87,10.0,5.66,9.79,6.11,14.29,14.44,21.07,23.75,1.44,18.9,17.05,15.27,18.77,13.19,5.16,30.56
5,0.09,0.17,0.31,0.03,0.4,9.24,6.67,2.76,9.18,16.76,17.12,6.39,18.11,16.76,18.17,6.69,19.1,13.64,18.19,22.68,14.52,11.87
6,0.4,0.02,0.11,0.32,0.15,1.15,1.0,3.37,4.21,13.68,6.64,19.42,11.08,24.11,2.35,22.72,17.63,11.67,20.2,21.85,13.21,15.44
7,0.07,0.27,0.11,0.47,0.08,8.77,10.0,6.79,1.28,18.01,5.26,6.44,2.73,16.44,13.84,37.28,2.02,30.19,15.67,21.6,20.83,9.69
8,0.16,0.27,0.29,0.0,0.28,7.35,1.0,7.82,4.19,6.89,11.55,16.55,8.48,18.09,20.79,17.65,11.57,29.81,15.68,18.55,5.14,19.25
9,0.08,0.02,0.22,0.43,0.25,6.39,10.0,3.32,5.7,16.98,2.37,7.08,13.07,20.93,19.79,19.78,17.95,3.95,29.88,12.53,13.66,22.03
10,0.21,0.19,0.31,0.23,0.06,5.2,1.0,9.1,3.14,17.74,23.02,6.7,5.74,11.35,14.8,20.65,17.93,8.99,22.86,15.58,10.78,23.86
11,0.25,0.22,0.25,0.11,0.17,2.68,6.67,9.93,3.42,11.93,20.35,10.28,32.4,19.58,3.42,2.04,23.88,33.47,1.64,31.6,0.67,8.74
12,0.26,0.22,0.26,0.15,0.11,4.26,3.33,9.42,1.38,13.42,6.99,25.99,19.51,20.15,2.25,11.69,2.69,42.79,36.58,13.7,2.92,1.32
13,0.24,0.28,0.1,0.19,0.19,2.39,6.67,1.45,6.22,35.94,14.83,3.5,17.54,6.09,6.61,15.49,15.45,1.56,32.71,34.81,6.5,8.97
14,0.27,0.05,0.23,0.19,0.26,4.71,10.0,1.93,6.03,8.17,2.92,16.36,17.48,10.89,24.69,19.49,6.75,13.34,8.57,11.26,40.68,19.4
15,0.19,0.29,0.17,0.26,0.09,2.06,10.0,9.44,5.46,9.27,8.54,15.43,15.04,18.94,14.57,18.21,26.08,6.81,27.71,25.18,14.03,0.19
16,0.1,0.16,0.19,0.27,0.28,8.51,10.0,3.31,9.66,27.98,28.55,2.97,25.32,5.44,2.75,6.99,18.05,10.89,25.27,5.09,20.98,19.72
17,0.09,0.24,0.2,0.19,0.28,4.14,3.33,5.65,2.65,3.59,32.44,7.2,10.98,25.16,16.08,4.55,24.6,7.16,4.28,28.91,13.39,21.66
18,0.12,0.28,0.05,0.28,0.27,1.48,3.33,5.18,5.55,0.44,1.56,22.37,10.11,19.77,30.2,15.55,21.21,26.33,1.15,37.43,9.33,4.55
19,0.43,0.03,0.17,0.28,0.09,3.54,6.67,1.88,8.01,24.43,5.16,15.26,14.68,6.24,22.95,11.28,20.4,12.9,19.81,17.46,14.71,14.72
20,0.46,0.11,0.18,0.24,0.01,9.81,3.33,4.74,1.96,20.34,17.33,22.38,5.39,8.99,2.61,22.96,11.19,7.64,20.22,37.4,11.62,11.93
21,0.22,0.16,0.16,0.23,0.23,8.99,3.33,8.28,3.9,17.65,1.17,22.59,9.03,11.64,20.89,17.03,14.18,3.47,18.09,29.49,27.55,7.22
22,0.14,0.25,0.15,0.2,0.26,3.3,6.67,3.73,4.94,24.11,11.05,23.73,3.4,8.23,4.71,24.77,26.96,10.62,9.9,0.15,31.25,21.12
23,0.25,0.25,0.02,0.23,0.25,8.19,10.0,3.42,5.05,15.44,2.52,16.32,26.54,31.85,6.61,0.72,21.1,16.15,8.09,21.11,9.88,23.67
24,0.29,0.18,0.16,0.2,0.17,4.46,6.67,8.11,7.48,10.63,19.98,29.03,18.22,10.06,0.42,11.66,5.46,12.6,23.58,20.61,12.94,24.81
25,0.09,0.25,0.21,0.22,0.23,7.55,6.67,2.46,2.23,12.24,22.9,15.67,16.1,1.36,25.43,6.3,5.06,25.93,46.16,7.3,9.81,5.74
26,0.32,0.44,0.02,0.19,0.03,8.67,3.33,2.42,5.95,5.53,23.89,21.84,11.85,2.85,12.74,21.3,23.14,23.01,19.26,12.06,9.34,13.19
27,0.25,0.2,0.22,0.3,0.03,4.52,6.67,2.91,4.5,19.65,10.35,12.04,39.45,6.88,5.32,6.31,27.49,27.68,5.82,25.89,12.48,0.64
28,0.16,0.33,0.29,0.02,0.2,5.57,1.0,5.61,5.05,17.53,10.5,8.01,30.33,7.59,25.51,0.53,25.2,41.95,2.09,17.62,11.5,1.64
29,0.2,0.21,0.29,0.04,0.26,5.93,3.33,9.83,4.88,15.09,13.67,10.41,10.21,16.96,16.47,17.19,4.53,33.33,34.63,6.65,11.64,9.22
30,0.25,0.25,0.15,0.24,0.11,7.91,10.0,2.41,1.15,6.22,4.62,21.11,10.72,6.3,22.51,28.52,17.35,29.86,26.99,10.29,11.53,3.98
31,0.1,0.24,0.21,0.2,0.25,8.39,1.0,8.73,6.56,19.29,20.97,21.85,0.51,2.96,27.98,6.44,20.08,11.07,1.89,24.36,24.61,17.99
32,0.01,0.27,0.29,0.15,0.28,9.27,3.33,1.71,1.54,22.67,0.79,17.1,23.14,19.92,13.93,2.45,10.92,17.72,13.79,16.67,19.98,20.92
33,0.28,0.26,0.22,0.24,0.0,5.87,1.0,7.19,3.72,7.76,8.73,20.08,3.86,13.82,22.36,23.39,16.81,29.2,8.21,23.03,7.78,14.97
34,0.18,0.21,0.16,0.24,0.21,5.54,3.33,2.04,7.7,19.15,7.65,16.43,17.94,5.65,7.64,25.54,7.75,30.03,10.42,8.43,17.13,26.24
35,0.23,0.12,0.27,0.1,0.28,10.0,1.0,6.14,8.42,23.62,16.41,2.92,11.04,15.8,20.59,9.62,11.91,13.95,20.68,26.52,14.26,12.68
36,0.24,0.22,0.26,0.18,0.1,3.1,1.0,7.57,5.45,11.32,3.59,23.56,19.7,22.1,2.06,17.67,23.94,14.9,17.46,15.62,9.16,18.92
37,0.17,0.06,0.09,0.24,0.44,1.95,1.0,3.96,2.16,6.48,1.25,12.86,9.42,24.92,25.3,19.77,39.01,7.0,28.9,9.69,12.37,3.03
38,0.11,0.15,0.14,0.37,0.23,1.79,10.0,3.43,9.06,18.37,13.16,10.04,15.06,18.94,3.38,21.05,16.21,35.91,4.87,28.51,3.82,10.68
39,0.08,0.26,0.25,0.17,0.24,3.08,3.33,1.27,6.11,13.86,21.17,0.65,11.72,19.58,18.64,14.38,25.17,18.41,10.83,8.69,10.39,26.51
40,0.19,0.01,0.28,0.26,0.26,3.45,3.33,5.14,2.77,5.06,19.86,19.21,16.66,26.44,6.74,6.03,18.2,14.87,24.63,9.08,21.96,11.26
41,0.26,0.26,0.25,0.14,0.09,6.37,3.33,3.37,2.68,8.07,19.75,32.65,1.32,10.78,13.2,14.23,5.69,22.71,34.42,4.86,13.38,18.94
42,0.02,0.1,0.42,0.21,0.25,4.97,1.0,6.01,2.17,21.41,23.93,9.83,25.27,10.36,4.68,4.52,17.57,17.59,30.98,5.31,8.87,19.68
43,0.25,0.14,0.14,0.15,0.32,6.25,10.0,2.15,6.86,10.41,11.18,9.51,4.44,15.54,23.15,25.77,20.68,33.97,0.16,6.49,8.9,29.8
44,0.05,0.22,0.32,0.34,0.07,5.26,3.33,9.52,2.66,16.11,12.19,12.17,16.59,14.64,11.27,17.03,24.22,14.64,16.85,6.69,15.05,22.55
45,0.31,0.23,0.22,0.09,0.15,6.62,3.33,9.76,3.47,21.5,1.71,14.52,21.81,5.82,21.91,12.73,21.4,14.46,22.54,22.03,8.48,11.09
46,0.19,0.34,0.15,0.29,0.03,8.24,3.33,3.79,6.78,11.79,25.44,15.77,3.02,11.67,31.1,1.21,3.1,20.82,22.23,25.32,3.61,24.92
47,0.19,0.31,0.11,0.11,0.28,8.49,6.67,2.05,9.58,9.29,2.96,14.37,22.25,14.8,13.69,22.64,16.11,28.82,33.65,2.82,10.8,7.8
48,0.21,0.08,0.24,0.12,0.35,6.02,10.0,1.46,4.61,7.34,19.87,4.6,17.35,19.91,14.23,16.7,21.53,15.45,14.48,7.37,25.84,15.33
49,0.02,0.36,0.36,0.2,0.06,7.0,3.33,3.95,8.57,4.87,14.47,21.5,20.45,22.18,2.79,13.74,8.65,23.6,14.84,24.57,17.76,10.58
50,0.28,0.24,0.01,0.22,0.25,5.9,1.0,7.92,5.87,20.81,3.99,20.1,17.84,2.18,20.15,14.93,25.69,3.64,30.15,20.27,6.4,13.85
51,0.28,0.22,0.16,0.09,0.25,6.73,3.33,2.05,7.09,6.19,11.28,13.15,3.37,18.78,30.53,16.7,12.61,23.87,5.67,23.77,23.54,10.54
52,0.21,0.14,0.18,0.45,0.02,4.89,6.67,8.51,5.02,3.86,1.92,34.6,45.85,5.9,7.69,0.18,40.93,1.31,14.94,30.54,1.0,11.28
53,0.16,0.13,0.14,0.36,0.21,9.79,6.67,4.31,5.69,6.5,25.41,10.3,34.51,0.72,11.81,10.75,15.74,10.09,13.23,17.69,24.45,18.8
